query_id,text,gold_sql,pred_sql,complexity,EM,EX,valid,latency_ms,model_succeeded
0,Tìm áo thun,SELECT * FROM products WHERE name LIKE '%áo thun%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo thun%' LIMIT 10;,simple,1,1,True,1499.4385242462158,True
39,Tìm kiếm đồ ngủ,SELECT * FROM products WHERE name LIKE '%đồ ngủ%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%đồ ngủ%' LIMIT 10;,simple,1,1,True,1235.7783317565918,True
40,Tìm đồ bơi,SELECT * FROM products WHERE name LIKE '%đồ bơi%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%đồ bơi%' LIMIT 10;,simple,1,1,True,1287.0264053344727,True
41,Hiển thị áo cardigan,SELECT * FROM products WHERE name LIKE '%áo cardigan%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%ao cardigan%' LIMIT 10;,simple,0,1,True,1522.7596759796143,True
42,Xem áo croptop,SELECT * FROM products WHERE name LIKE '%áo croptop%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%ao croptop%' LIMIT 10;,simple,0,0,True,1522.4378108978271,True
43,Liệt kê áo bomber,SELECT name FROM products WHERE name LIKE '%áo bomber%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo bomber%' LIMIT 10;,simple,0,1,True,1643.404483795166,True
44,Tìm kiếm áo denim,SELECT * FROM products WHERE name LIKE '%áo denim%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%ao denim%' LIMIT 10;,simple,0,1,True,1464.4246101379395,True
45,Tìm áo flannel,SELECT * FROM products WHERE name LIKE '%áo flannel%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo flannel%' LIMIT 10;,simple,1,1,True,1524.1434574127197,True
46,Hiển thị áo kimono,SELECT * FROM products WHERE name LIKE '%áo kimono%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo kimono%' LIMIT 10;,simple,1,1,True,1586.9956016540527,True
47,Xem quần tây,SELECT * FROM products WHERE name LIKE '%quần tây%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần tây%' LIMIT 10;,simple,1,1,True,1353.6880016326904,True
48,Liệt kê quần baggy,SELECT name FROM products WHERE name LIKE '%quần baggy%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần baggy%' LIMIT 10;,simple,0,1,True,1645.0004577636719,True
49,Tìm kiếm quần cargo,SELECT * FROM products WHERE name LIKE '%quần cargo%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần cargo%' LIMIT 10;,simple,1,1,True,1647.871971130371,True
50,Tìm quần legging,SELECT * FROM products WHERE name LIKE '%quần legging%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần legging%' LIMIT 10;,simple,1,1,True,1343.5487747192383,True
51,Hiển thị quần culottes,SELECT * FROM products WHERE name LIKE '%quần culottes%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần culottes%' LIMIT 10;,simple,1,1,True,1411.4580154418945,True
52,Xem quần palazzo,SELECT * FROM products WHERE name LIKE '%quần palazzo%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần palazzo%' LIMIT 10;,simple,1,1,True,1630.2666664123535,True
53,Liệt kê váy midi,SELECT name FROM products WHERE name LIKE '%váy midi%' LIMIT 10;,SELECT * FROM products WHERE category_id = (SELECT id FROM categories WHERE name = 'Váy Midi');,simple,0,0,True,1765.7649517059326,True
54,Tìm kiếm váy mini,SELECT * FROM products WHERE name LIKE '%váy mini%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%vay mini%' LIMIT 10;,simple,0,1,True,1609.7702980041504,True
55,Tìm váy maxi,SELECT * FROM products WHERE name LIKE '%váy maxi%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%v%áy%maxi%' LIMIT 10;,simple,0,1,True,1705.6670188903809,True
56,Hiển thị váy bodycon,SELECT * FROM products WHERE name LIKE '%váy bodycon%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%v%áy%bodycon%' LIMIT 10;,simple,0,1,True,1702.3556232452393,True
57,Xem váy swing,SELECT * FROM products WHERE name LIKE '%váy swing%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%váy swing%' LIMIT 10;,simple,1,1,True,1171.6609001159668,True
58,Liệt kê váy wrap,SELECT name FROM products WHERE name LIKE '%váy wrap%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%vay wrap%' LIMIT 10;,simple,0,1,True,1528.7930965423584,True
59,Tìm kiếm giày oxford,SELECT * FROM products WHERE name LIKE '%giày oxford%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày oxford%' LIMIT 10;,simple,1,1,True,1649.6961116790771,True
60,Tìm giày loafer,SELECT * FROM products WHERE name LIKE '%giày loafer%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày loafer%' LIMIT 10;,simple,1,1,True,1645.12038230896,True
61,Hiển thị giày moccasin,SELECT * FROM products WHERE name LIKE '%giày moccasin%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày moccasin%' LIMIT 10;,simple,1,1,True,1768.0115699768066,True
62,Xem giày slip-on,SELECT * FROM products WHERE name LIKE '%giày slip-on%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày slip-on%' LIMIT 10;,simple,1,1,True,1767.1270370483398,True
63,Liệt kê giày combat,SELECT name FROM products WHERE name LIKE '%giày combat%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày combat%' LIMIT 10;,simple,0,0,True,1645.939826965332,True
64,Tìm kiếm giày chelsea,SELECT * FROM products WHERE name LIKE '%giày chelsea%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày chelsea%' LIMIT 10;,simple,1,1,True,1701.6537189483643,True
65,Tìm túi clutch,SELECT * FROM products WHERE name LIKE '%túi clutch%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi clutch%' LIMIT 10;,simple,1,1,True,1291.0151481628418,True
66,Hiển thị túi tote,SELECT * FROM products WHERE name LIKE '%túi tote%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi tote%' LIMIT 10;,simple,1,1,True,1290.7540798187256,True
67,Xem túi bucket,SELECT * FROM products WHERE name LIKE '%túi bucket%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi bucket%' LIMIT 10;,simple,1,1,True,1294.9810028076172,True
68,Liệt kê túi saddle,SELECT name FROM products WHERE name LIKE '%túi saddle%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi saddle%' LIMIT 10;,simple,0,1,True,1584.3186378479004,True
69,Tìm kiếm túi hobo,SELECT * FROM products WHERE name LIKE '%túi hobo%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi hobo%' LIMIT 10;,simple,1,1,True,1348.637342453003,True
70,Tìm túi messenger,SELECT * FROM products WHERE name LIKE '%túi messenger%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi messenger%' LIMIT 10;,simple,1,1,True,1638.892650604248,True
71,Hiển thị mũ fedora,SELECT * FROM products WHERE name LIKE '%mũ fedora%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%m fedora%' LIMIT 10;,simple,0,1,True,1580.4760456085205,True
72,Xem mũ bucket,SELECT * FROM products WHERE name LIKE '%mũ bucket%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%mũ bucket%' LIMIT 10;,simple,1,1,True,1227.308750152588,True
73,Liệt kê mũ panama,SELECT name FROM products WHERE name LIKE '%mũ panama%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%m%u%n%a%m%a%' LIMIT 10;,simple,0,0,True,1640.641212463379,True
74,Tìm kiếm mũ newsboy,SELECT * FROM products WHERE name LIKE '%mũ newsboy%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%m%u%n%e%s%b%o%y%' LIMIT 10;,simple,0,0,True,1994.462013244629,True
75,Tìm mũ trucker,SELECT * FROM products WHERE name LIKE '%mũ trucker%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%mũ trucker%' LIMIT 10;,simple,1,1,True,1290.6761169433594,True
76,Hiển thị mũ beanie,SELECT * FROM products WHERE name LIKE '%mũ beanie%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%beanie%' LIMIT 10;,simple,0,0,True,1110.7487678527832,True
77,Xem kính cận,SELECT * FROM products WHERE name LIKE '%kính cận%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kính cận%' LIMIT 10;,simple,1,1,True,1353.9795875549316,True
78,Liệt kê kính mát,SELECT name FROM products WHERE name LIKE '%kính mát%' LIMIT 10;,SELECT * FROM products JOIN categories c ON category_id = c.id WHERE c.name = 'kính mát';,simple,0,0,True,1945.0633525848389,True
79,Tìm kiếm kính gọng tròn,SELECT * FROM products WHERE name LIKE '%kính gọng tròn%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kính gọng tròn%' LIMIT 10;,simple,1,1,True,1544.3449020385742,True
80,Tìm tất cả sản phẩm,SELECT * FROM products LIMIT 10;,SELECT * FROM products;,simple,0,0,True,534.2788696289062,True
81,Hiển thị tên sản phẩm,SELECT name FROM products LIMIT 10;,SELECT name FROM products;,simple,0,0,True,638.0453109741211,True
82,Đếm số sản phẩm,SELECT COUNT(*) as total_products FROM products;,SELECT COUNT(*) FROM products;,simple,0,1,True,520.9982395172119,True
83,Xem danh sách thương hiệu,SELECT DISTINCT brand_name FROM brands;,SELECT DISTINCT b.name FROM products JOIN brands b ON brand_id = b.id;,simple,0,0,True,1645.6167697906494,True
84,Hiển thị danh mục,SELECT category_name FROM categories;,SELECT c.name FROM categories c;,simple,0,0,True,658.2458019256592,True
85,Tìm sản phẩm đầu tiên,SELECT * FROM products ORDER BY product_id LIMIT 1;,SELECT * FROM products WHERE name LIKE '%áo thun%' LIMIT 1;,simple,0,0,True,1561.5448951721191,True
86,Xem 5 sản phẩm,SELECT * FROM products LIMIT 5;,SELECT * FROM products LIMIT 5;,simple,1,1,True,639.1782760620117,True
87,Hiển thị tên và giá,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id LIMIT 10;","SELECT name, price FROM products;",simple,0,0,True,878.4782886505127,True
88,Đếm thương hiệu,SELECT COUNT(*) as total_brands FROM brands;,"SELECT b.name, COUNT(*) AS product_count FROM products JOIN brands b ON brand_id = b.id GROUP BY b.name ORDER BY product_count DESC;",simple,0,0,True,2536.0593795776367,True
89,Xem người bán,SELECT seller_name FROM sellers LIMIT 10;,SELECT b.name FROM brands b JOIN products ON b.id = brand_id GROUP BY b.name;,simple,0,0,True,1777.5778770446777,True
90,Xem 10 sản phẩm,SELECT * FROM products LIMIT 10;,SELECT * FROM products LIMIT 10;,simple,1,1,True,711.7969989776611,True
91,Xem 20 sản phẩm,SELECT * FROM products LIMIT 20;,SELECT * FROM products LIMIT 20;,simple,1,1,True,713.674783706665,True
92,Sản phẩm mới nhất,SELECT * FROM products ORDER BY product_id DESC LIMIT 10;,SELECT * FROM products ORDER BY id DESC LIMIT 1;,simple,0,0,True,891.5095329284668,True
93,Sản phẩm cũ nhất,SELECT * FROM products ORDER BY product_id ASC LIMIT 10;,SELECT * FROM products ORDER BY review_count ASC LIMIT 1;,simple,0,0,True,1004.6625137329102,True
94,Danh sách tất cả danh mục,SELECT * FROM categories;,SELECT c.name FROM categories c;,simple,0,0,True,654.0324687957764,True
95,Danh sách tất cả thương hiệu,SELECT * FROM brands;,SELECT DISTINCT b.name FROM products JOIN brands b ON brand_id = b.id;,simple,0,0,True,1673.4557151794434,True
96,Danh sách người bán,SELECT * FROM sellers LIMIT 10;,SELECT DISTINCT b.name FROM products JOIN brands b ON brand_id = b.id;,simple,0,0,True,1659.1529846191406,True
97,Tổng số danh mục,SELECT COUNT(*) as total FROM categories;,SELECT COUNT(DISTINCT c.id) FROM categories c;,simple,0,0,True,1011.2130641937256,True
98,Tổng số người bán,SELECT COUNT(*) as total FROM sellers;,SELECT COUNT(DISTINCT b.id) AS total_sellers FROM products JOIN brands b ON brand_id = b.id;,simple,0,0,True,2127.1629333496094,True
99,Sản phẩm có hình ảnh,SELECT * FROM products WHERE number_of_images > 0 LIMIT 10;,SELECT * FROM products WHERE image IS NOT NULL;,simple,0,0,True,967.449426651001,True
100,Sản phẩm theo thương hiệu,"SELECT b.brand_name, COUNT(p.product_id) as product_count FROM brands b JOIN products p ON b.brand_id = p.brand_id GROUP BY b.brand_name ORDER BY product_count DESC;",SELECT * FROM products JOIN brands b ON brand_id = b.id WHERE b.name = 'Samsung';,medium,0,0,True,1911.5910530090332,True
101,Giá trung bình theo danh mục,"SELECT c.category_name, AVG(pr.current_price) as avg_price FROM categories c JOIN products p ON c.category_id = p.category_id JOIN product_pricing pr ON p.product_id = pr.product_id GROUP BY c.category_name;","SELECT c.name, AVG(price) AS average_price FROM products JOIN categories c ON category_id = c.id GROUP BY c.name;",medium,0,0,True,2421.7982292175293,True
102,Sản phẩm có đánh giá cao,"SELECT p.name, rv.rating_average FROM products p JOIN product_reviews rv ON p.product_id = rv.product_id WHERE rv.rating_average >= 4.0 ORDER BY rv.rating_average DESC LIMIT 20;",SELECT * FROM products WHERE rating > 4.5;,medium,0,0,True,1089.2155170440674,True
103,Thương hiệu Nike,"SELECT p.name, pr.current_price FROM products p JOIN brands b ON p.brand_id = b.brand_id JOIN product_pricing pr ON p.product_id = pr.product_id WHERE b.brand_name LIKE '%Nike%' LIMIT 10;",SELECT * FROM products JOIN brands b ON brand_id = b.id WHERE b.name = 'Nike';,medium,0,0,True,1895.258903503418,True
104,Sản phẩm giá dưới 500k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price < 500000 ORDER BY pr.current_price LIMIT 20;",SELECT * FROM products WHERE price < 500000;,medium,0,0,True,1086.2088203430176,True
105,Sản phẩm giá dưới 100k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price < 100000 ORDER BY pr.current_price LIMIT 20;",SELECT * FROM products WHERE price < 100000;,medium,0,0,True,1086.467981338501,True
106,Sản phẩm giá trên 100k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price > 100000 ORDER BY pr.current_price DESC LIMIT 20;",SELECT * FROM products WHERE price > 100000;,medium,0,0,True,1086.2975120544434,True
107,Sản phẩm giá dưới 200k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price < 200000 ORDER BY pr.current_price LIMIT 20;",SELECT * FROM products WHERE price < 200000;,medium,0,0,True,1086.1036777496338,True
108,Sản phẩm giá trên 200k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price > 200000 ORDER BY pr.current_price DESC LIMIT 20;",SELECT * FROM products WHERE price > 200000;,medium,0,0,True,1088.911533355713,True
109,Sản phẩm giá dưới 300k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price < 300000 ORDER BY pr.current_price LIMIT 20;",SELECT * FROM products WHERE price < 300000;,medium,0,0,True,1084.7620964050293,True
110,Sản phẩm giá trên 300k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price > 300000 ORDER BY pr.current_price DESC LIMIT 20;",SELECT * FROM products WHERE price > 300000;,medium,0,0,True,1085.0870609283447,True
111,Sản phẩm giá dưới 500k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price < 500000 ORDER BY pr.current_price LIMIT 20;",SELECT * FROM products WHERE price < 500000;,medium,0,0,True,1085.8886241912842,True
112,Sản phẩm giá trên 500k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price > 500000 ORDER BY pr.current_price DESC LIMIT 20;",SELECT * FROM products WHERE price > 500000;,medium,0,0,True,1092.5521850585938,True
113,Sản phẩm giá dưới 1000k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price < 1000000 ORDER BY pr.current_price LIMIT 20;",SELECT * FROM products WHERE price < 1000000;,medium,0,0,True,1147.007703781128,True
114,Sản phẩm giá trên 1000k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price > 1000000 ORDER BY pr.current_price DESC LIMIT 20;",SELECT * FROM products WHERE price > 1000000;,medium,0,0,True,1148.9126682281494,True
115,Sản phẩm giá dưới 2000k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price < 2000000 ORDER BY pr.current_price LIMIT 20;",SELECT * FROM products WHERE price < 2000000;,medium,0,0,True,1146.1005210876465,True
116,Sản phẩm giá trên 2000k,"SELECT p.name, pr.current_price FROM products p JOIN product_pricing pr ON p.product_id = pr.product_id WHERE pr.current_price > 2000000 ORDER BY pr.current_price DESC LIMIT 20;",SELECT * FROM products WHERE price > 2000000;,medium,0,0,True,1147.3722457885742,True
117,Sản phẩm thương hiệu Nike,"SELECT p.name, pr.current_price FROM products p JOIN brands b ON p.brand_id = b.brand_id JOIN product_pricing pr ON p.product_id = pr.product_id WHERE b.brand_name LIKE '%Nike%' LIMIT 10;",SELECT * FROM products JOIN brands b ON brand_id = b.id WHERE b.name = 'Nike';,medium,0,0,True,1915.9176349639893,True
118,Sản phẩm thương hiệu Adidas,"SELECT p.name, pr.current_price FROM products p JOIN brands b ON p.brand_id = b.brand_id JOIN product_pricing pr ON p.product_id = pr.product_id WHERE b.brand_name LIKE '%Adidas%' LIMIT 10;",SELECT * FROM products JOIN brands b ON brand_id = b.id WHERE b.name = 'Adidas';,medium,0,0,True,1915.5359268188477,True
119,Sản phẩm thương hiệu Samsung,"SELECT p.name, pr.current_price FROM products p JOIN brands b ON p.brand_id = b.brand_id JOIN product_pricing pr ON p.product_id = pr.product_id WHERE b.brand_name LIKE '%Samsung%' LIMIT 10;",SELECT * FROM products JOIN brands b ON brand_id = b.id WHERE b.name = 'Samsung';,medium,0,0,True,1913.7089252471924,True
120,Sản phẩm thương hiệu Apple,"SELECT p.name, pr.current_price FROM products p JOIN brands b ON p.brand_id = b.brand_id JOIN product_pricing pr ON p.product_id = pr.product_id WHERE b.brand_name LIKE '%Apple%' LIMIT 10;",SELECT * FROM products JOIN brands b ON brand_id = b.id WHERE b.name = 'Apple';,medium,0,0,True,1912.6086235046387,True
121,Sản phẩm thương hiệu Louis Vuitton,"SELECT p.name, pr.current_price FROM products p JOIN brands b ON p.brand_id = b.brand_id JOIN product_pricing pr ON p.product_id = pr.product_id WHERE b.brand_name LIKE '%Louis Vuitton%' LIMIT 10;",SELECT * FROM products JOIN brands b ON brand_id = b.id WHERE b.name = 'Louis Vuitton';,medium,0,0,True,2031.378984451294,True
122,Sản phẩm thương hiệu Gucci,"SELECT p.name, pr.current_price FROM products p JOIN brands b ON p.brand_id = b.brand_id JOIN product_pricing pr ON p.product_id = pr.product_id WHERE b.brand_name LIKE '%Gucci%' LIMIT 10;",SELECT * FROM products JOIN brands b ON brand_id = b.id WHERE b.name = 'Gucci';,medium,0,0,True,1919.318437576294,True
123,Sản phẩm thương hiệu Uniqlo,"SELECT p.name, pr.current_price FROM products p JOIN brands b ON p.brand_id = b.brand_id JOIN product_pricing pr ON p.product_id = pr.product_id WHERE b.brand_name LIKE '%Uniqlo%' LIMIT 10;",SELECT * FROM products JOIN brands b ON brand_id = b.id WHERE b.name = 'Uniqlo';,medium,0,0,True,1974.637508392334,True
